,고유번호,상호명,신주소,Latitude,Longitude,전화번호,TAG,dis_diff,Time,distance
2,36,남산서울타워,"04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워)",37.5511694,126.9882266,02-3455-9277,"별에서온그대,서울야경,남산타워전망대,남산데이트,데이트코스,야경,N서울타워,김수현,남산케이블카,남산타워,남산서울타워",0.020367074,48,7
3,72,경복궁,"03045 서울 종로구 사직로 161 (세종로, 경복궁)",37.579617,126.977041,02-3700-3900,"역사,경복궁한복대여,서울고궁,광화문,경복궁야간개장,경복궁,조선왕조,궁,경복궁데이트",0.010448244,10,1.4
4,90,한양도성박물관,"03098 서울 종로구 율곡로 283 (종로6가, 서울디자인지원센터)",37.572737,127.008519,02-120,"한양도성,낙산공원, 가볼만한곳,서울스탬프투어,서울한양도성,서울성곽,그녀는예뻤다,유적지,순성길,역사",0.029622526,17,3.3
5,95,DDP(동대문디자인플라자),04566 서울 중구 을지로 281 (을지로7가),37.5667521,127.0101046,02-2153-0000,"동대문역사문화공원역,동대문디자인플라자,DDP,동대문DDP,그녀는예뻤다,전시,미술관,문화공간,별에서온그대,김수현,문화,서울전시,서울패션위크",0.031126694,12,3.3
6,252,63스퀘어,"07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩)",37.5193776,126.9402103,02-789-5663,"63빌딩,아쿠아리움,63빌딩전망대,전망대,63아쿠아플라넷,63빌딩레스토랑,63아트,데이트코스,63스퀘어",0.063331421,43,9.2
7,276,남산골 한옥마을,04626 서울 중구 퇴계로34길 28 (남산한옥마을),37.559315,126.994477,02-2264-4412,"문화공간,서울여행지,남산구경,전통,무한도전,서울구경,전통혼례,민씨가옥,남산골한옥마을",0.018383179,12,2.4
8,281,통인시장,03036 서울 종로구 자하문로15길 18,37.5807277,126.9699348,02-722-0911,"엽전도시락,종로통인시장,통인시장닭꼬치,런닝맨,엽전시장,통인시장데이트,효자베이커리,통인시장, 1박2일,기름떡볶이",0.014586102,14,2.3
9,291,신사동 가로수길,06028 서울 강남구 압구정로 120 일대,37.5235779,127.0219058,02-120,"서울,서울투어,신사동가로수길,서울쇼핑,쇼핑거리,서울여행,한국길거리,쇼핑,서울가볼만한곳,가로수길,길거리쇼핑,서울관광,문화,아이쇼핑",0.062692693,62,19.5
10,295,창덕궁,"03072 서울 종로구 율곡로 99 (와룡동, 창덕궁)",37.5794309,126.9910426,02-3668-2300,"후원,창덕궁홍매화,역사,창덕궁야간개장,유네스코세계문화유산,봄꽃나들이,창덕궁,창경궁,궁,비원",0.015623727,15,2.8
11,297,창경궁,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁)",37.5787708,126.9948698,02-762-4868,"한복대여,조선궁궐,서울고궁,창경궁야간개장,역사,창경궁,비원,서울가볼만한곳,궁",0.018368624,16,3.2
12,305,세종문화회관,03172 서울 종로구 세종대로 175 (세종문화회관),37.5725254,126.9756429,02-399-1000,"공연장,행사,세종문화회관,광화문역,종로,전시,문화,경복궁역",0.004671095,7,0.945
13,338,SM TOWN 코엑스아티움,서울 강남구 삼성동 159-9,37.5667521,127.0101046,02-2153-0660,"DDP,기념품,동대문역사문화공원역,연예인,EXO,기념품숍,SM,한류,동대문디자인플라자,SM-아티스트,SM-TOWN-스타디움",0.031126694,62,18
14,358,세븐럭 카지노(강북 힐튼점),04637 서울 중구 소월로 50 (힐튼호텔),37.5552329,126.9758739,02-3466-6100,"빅휠, 바카라,세븐럭카지노,힐튼,룰렛,다이사이,카지노, 남산, 블랙잭, 레저, 슬롯머신",0.014499197,15,2.5
15,360,SM 사옥,06012 서울 강남구 선릉로190길 114 (청담동),37.5279268,127.0506902,02-6240-9800,"슈퍼주니어,연예인SM사옥SM,SM,강남,한류,Exo, 소녀시대, 기획사",0.082731364,61,17.3
