img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ag (46).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,,
Ag (47).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (48).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (45).jpg,Feminine,Short-sleeve-tee,Stripe,,,one-piece,Stripe
Ag (37).jpg,Casual,Long-sleeve-tee,None,,,one-piece,None
Ag (38).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (39).jpg,Feminine,,,,,one-piece,Dot
Ag (40).jpg,Feminine,Short-sleeve-tee,Stripe,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (41).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (42).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,,
Ag (43).jpg,Casual,Shirts,Stripe,,,one-piece,Stripe
Ag (44).jpg,Casual,,,,,one-piece,Stripe
Ag (16).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (24).jpg,Feminine,,,Chiffon-skirt,Stripe,,
Ag (32).jpg,,,,,,,
Ag (51).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,,
Ag (12).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (33).jpg,Formal,,,Chiffon-skirt,Stripe,one-piece,None
Ag (34).jpg,Casual,,,,,one-piece,None
Ag (35).jpg,Feminine,,,,,one-piece,Stripe
Ag (36).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (53).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (54).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (55).jpg,Casual,Shirts,Stripe,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (56).jpg,Casual,,,,,one-piece,Check
Ag (57).jpg,Casual,,,,,one-piece,Leopard
Ag (58).jpg,Feminine,Shirts,Graphic,Chiffon-skirt,Stripe,,
Ag (1).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (2).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,,
Ag (3).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (4).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,,
Ag (5).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (6).jpg,,,,,,,
Ag (7).jpg,Formal,Shirts,None,Chiffon-skirt,Stripe,,
Ag (8).jpg,Formal,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (10).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Floral
Ag (11).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (13).jpg,Feminine,,,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (14).jpg,Feminine,,,,,one-piece,Stripe
Ag (15).jpg,Feminine,,,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (17).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,,
Ag (18).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,,
Ag (19).jpg,,,,,,,
Ag (20).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (21).jpg,Formal,,,Chiffon-skirt,Stripe,,
Ag (22).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (23).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,,
Ag (25).jpg,Formal,Hoodie,None,Chiffon-skirt,Stripe,,
Ag (26).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,,
Ag (27).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,,
Ag (28).jpg,Feminine,Shirts,Stripe,Chiffon-skirt,Stripe,,
Ag (29).jpg,Formal,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ag (30).jpg,Casual,Hoodie,None,Chiffon-skirt,Stripe,,
Ag (31).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (59).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,,
Ai (19).jpg,Feminine,,,,,one-piece,Dot
Ai (20).jpg,Feminine,Shirts,None,Cotten-long-pants,Dot,,
Ai (21).jpg,,,,,,,
