img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ag (46).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (47).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (48).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (45).jpg,Feminine,Short-sleeve-tee,Stripe,NA,NA,one-piece,Stripe
Ag (37).jpg,Casual,Long-sleeve-tee,None,NA,NA,one-piece,None
Ag (38).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (39).jpg,Feminine,NA,NA,NA,NA,one-piece,Dot
Ag (40).jpg,Feminine,Short-sleeve-tee,Stripe,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (41).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (42).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (43).jpg,Casual,Shirts,Stripe,NA,NA,one-piece,Stripe
Ag (44).jpg,Casual,NA,NA,NA,NA,one-piece,Stripe
Ag (16).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (24).jpg,Feminine,NA,NA,Chiffon-skirt,Stripe,NA,NA
Ag (32).jpg,NA,NA,NA,NA,NA,NA,NA
Ag (51).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (12).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (33).jpg,Formal,NA,NA,Chiffon-skirt,Stripe,one-piece,None
Ag (34).jpg,Casual,NA,NA,NA,NA,one-piece,None
Ag (35).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
Ag (36).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (53).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (54).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (55).jpg,Casual,Shirts,Stripe,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (56).jpg,Casual,NA,NA,NA,NA,one-piece,Check
Ag (57).jpg,Casual,NA,NA,NA,NA,one-piece,Leopard
Ag (58).jpg,Feminine,Shirts,Graphic,Chiffon-skirt,Stripe,NA,NA
Ag (1).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (2).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (3).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (4).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (5).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (6).jpg,NA,NA,NA,NA,NA,NA,NA
Ag (7).jpg,Formal,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (8).jpg,Formal,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (10).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Floral
Ag (11).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (13).jpg,Feminine,NA,NA,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (14).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
Ag (15).jpg,Feminine,NA,NA,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (17).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (18).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (19).jpg,NA,NA,NA,NA,NA,NA,NA
Ag (20).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (21).jpg,Formal,NA,NA,Chiffon-skirt,Stripe,NA,NA
Ag (22).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (23).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (25).jpg,Formal,Hoodie,None,Chiffon-skirt,Stripe,NA,NA
Ag (26).jpg,Casual,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (27).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,NA,NA
Ag (28).jpg,Feminine,Shirts,Stripe,Chiffon-skirt,Stripe,NA,NA
Ag (29).jpg,Formal,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ag (30).jpg,Casual,Hoodie,None,Chiffon-skirt,Stripe,NA,NA
Ag (31).jpg,Feminine,Shirts,None,Chiffon-skirt,Stripe,one-piece,Stripe
Ag (59).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Ai (19).jpg,Feminine,NA,NA,NA,NA,one-piece,Dot
Ai (20).jpg,Feminine,Shirts,None,Cotten-long-pants,Dot,NA,NA
Ai (21).jpg,NA,NA,NA,NA,NA,NA,NA
Ai (22).jpg,Casual,NA,NA,Cotten-long-pants,Dot,NA,NA
Ai (6).jpg,Feminine,Long-sleeve-tee,Dot,NA,NA,NA,NA
Ai (18).jpg,Feminine,Shirts,None,Cotten-long-pants,Dot,NA,NA
Ai (15).jpg,Feminine,Shirts,Stripe,Cotten-long-pants,Dot,NA,NA
Ai (16).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Dot,NA,NA
Ai (17).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Dot,NA,NA
