img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ab (47).jpg,Feminine,Short-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
Ab (48).jpg,Formal,Short-sleeve-tee,Stripe,Chiffon-skirt,Dot,one-piece,None
Ab (29).jpg,Feminine,Short-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
Ab (20).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Dot,one-piece,Floral
Ab (21).jpg,Casual,NA,NA,Chiffon-skirt,Dot,NA,NA
Ab (23).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (28).jpg,Casual,Long-sleeve-tee,Leopard,Chiffon-skirt,Dot,NA,NA
Ab (36).jpg,Feminine,Long-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
Ab (37).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (38).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (39).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (40).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (18).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (19).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (22).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (24).jpg,Casual,Shirts,Stripe,Chiffon-skirt,Dot,NA,NA
Ab (25).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (26).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (27).jpg,Formal,NA,NA,NA,NA,one-piece,Leopard
Ab (30).jpg,Feminine,Shirts,Leopard,Chiffon-skirt,Dot,NA,NA
Ab (31).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,NA,NA
Ab (32).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (33).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (34).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (35).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (6).jpg,Formal,Short-sleeve-tee,Stripe,Chiffon-skirt,Dot,one-piece,None
Ab (42).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (44).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (43).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (45).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,NA,NA
Ab (46).jpg,Casual,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (13).jpg,Casual,NA,NA,Chiffon-skirt,Dot,NA,NA
Ab (7).jpg,Casual,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (8).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Dot,NA,NA
Ab (9).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (10).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,NA,NA
Ab (11).jpg,Feminine,NA,NA,NA,NA,one-piece,Dot
Ab (12).jpg,Feminine,Shirts,Dot,Chiffon-skirt,Dot,one-piece,Dot
Ab (14).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (15).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (16).jpg,NA,NA,NA,NA,NA,NA,NA
Ab (2).jpg,Feminine,Hoodie,Graphic,Chiffon-skirt,Dot,NA,NA
Ab (17).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (3).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (4).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Dot,one-piece,Floral
Ab (41).jpg,Feminine,Shirts,None,Chiffon-skirt,Dot,NA,NA
Ab (5).jpg,Feminine,Shirts,Graphic,Chiffon-skirt,Dot,NA,NA
Ab (1).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,one-piece,Dot
Ab (49).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,one-piece,Floral
.ipynb_checkpoints,Feminine,NA,NA,Chiffon-skirt,Dot,one-piece,Floral
