img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ad (12).jpg,Feminine,Shirts,Leopard,Chiffon-skirt,Graphic,NA,NA
Ad (11).jpg,NA,NA,NA,NA,NA,NA,NA
Ad (8).jpg,Casual,Shirts,None,Chiffon-skirt,Graphic,NA,NA
Ad (6).jpg,Feminine,Short-sleeve-tee,Graphic,NA,NA,one-piece,Dot
Ad (9).jpg,Feminine,Hoodie,Graphic,Chiffon-skirt,Graphic,NA,NA
Ad (5).jpg,NA,NA,NA,NA,NA,NA,NA
Ad (7).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Graphic,NA,NA
Ad (10).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Graphic,NA,NA
Ad (15).jpg,Feminine,Shirts,None,Chiffon-skirt,Graphic,one-piece,Graphic
Ad (14).jpg,Formal,Shirts,None,Chiffon-skirt,Graphic,NA,NA
Ad (2).jpg,Feminine,Shirts,None,Chiffon-skirt,Graphic,NA,NA
Ad (1).jpg,Feminine,Shirts,Graphic,Chiffon-skirt,Graphic,NA,NA
Ad (3).jpg,Feminine,Short-sleeve-tee,Graphic,Chiffon-skirt,Graphic,NA,NA
Ad (4).jpg,Casual,Shirts,None,Chiffon-skirt,Graphic,NA,NA
Ad (13).jpg,Casual,Short-sleeve-tee,Graphic,Chiffon-skirt,Graphic,NA,NA
.ipynb_checkpoints,Casual,Short-sleeve-tee,Graphic,Chiffon-skirt,Graphic,NA,NA
