img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ae (31).jpg,Feminine,Short-sleeve-tee,Stripe,Chiffon-skirt,Leopard,NA,NA
Ae (6).jpg,Feminine,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (15).jpg,Feminine,Shirts,Graphic,Chiffon-skirt,Leopard,NA,NA
Ae (19).jpg,Feminine,Shirts,Dot,Chiffon-skirt,Leopard,NA,NA
Ae (25).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (32).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (10).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (20).jpg,NA,NA,NA,NA,NA,NA,NA
Ae (21).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (22).jpg,Feminine,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (23).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (26).jpg,NA,NA,NA,NA,NA,NA,NA
Ae (27).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (28).jpg,Feminine,NA,NA,Chiffon-skirt,Leopard,one-piece,Leopard
Ae (1).jpg,NA,NA,NA,NA,NA,NA,NA
Ae (3).jpg,Casual,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (4).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (5).jpg,Casual,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (7).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (8).jpg,Casual,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (9).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (12).jpg,Feminine,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (13).jpg,NA,NA,NA,NA,NA,NA,NA
Ae (14).jpg,Casual,Shirts,Dot,Chiffon-skirt,Leopard,NA,NA
Ae (16).jpg,Feminine,Short-sleeve-tee,Graphic,Chiffon-skirt,Leopard,NA,NA
Ae (17).jpg,Feminine,Hoodie,None,Chiffon-skirt,Leopard,NA,NA
Ae (18).jpg,Feminine,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (11).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (24).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Leopard,one-piece,Leopard
Ae (2).jpg,Feminine,Shirts,None,Chiffon-skirt,Leopard,NA,NA
Ae (30).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
Ae (29).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Leopard,NA,NA
