img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ah (42).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (43).jpg,Casual,NA,NA,Cotten-long-pants,Check,NA,NA
Ah (1).jpg,Casual,Shirts,Leopard,Cotten-long-pants,Check,NA,NA
Ah (2).jpg,Casual,NA,NA,Cotten-long-pants,Check,NA,NA
Ah (39).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (40).jpg,Feminine,Hoodie,Graphic,Cotten-long-pants,Check,NA,NA
Ah (41).jpg,Casual,Shirts,Graphic,Cotten-long-pants,Check,NA,NA
Ah (4).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (5).jpg,Feminine,NA,NA,Cotten-long-pants,Check,one-piece,Dot
Ah (6).jpg,Formal,NA,NA,Cotten-long-pants,Check,NA,NA
Ah (3).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (36).jpg,Casual,Shirts,Check,Cotten-long-pants,Check,NA,NA
Ah (37).jpg,Casual,Shirts,Leopard,Cotten-long-pants,Check,NA,NA
Ah (38).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (27).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (31).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (35).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (12).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (15).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (18).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (21).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (29).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (30).jpg,Casual,Hoodie,None,Cotten-long-pants,Check,NA,NA
Ah (32).jpg,Casual,Hoodie,Graphic,Cotten-long-pants,Check,NA,NA
Ah (34).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (9).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,Check,NA,NA
Ah (10).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (11).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Check,NA,NA
Ah (13).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (14).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Check,NA,NA
Ah (16).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,Check,NA,NA
Ah (19).jpg,Casual,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (20).jpg,Feminine,Shirts,None,Cotten-long-pants,Check,NA,NA
Ah (22).jpg,Feminine,Shirts,Check,NA,NA,NA,NA
Ah (23).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (24).jpg,Formal,Hoodie,None,Cotten-long-pants,Check,NA,NA
Ah (7).jpg,Casual,Long-sleeve-tee,Leopard,Cotten-long-pants,Check,NA,NA
Ah (26).jpg,Casual,Short-sleeve-tee,None,NA,NA,NA,NA
Ah (8).jpg,Feminine,Shirts,Check,Cotten-long-pants,Check,NA,NA
Ah (28).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (17).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (25).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Check,NA,NA
Ah (33).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,Check,NA,NA
