img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Aj (19).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Floral,NA,NA
Aj (20).jpg,Formal,Long-sleeve-tee,None,NA,NA,NA,NA
Aj (21).jpg,Feminine,Long-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
Aj (22).jpg,Casual,Shirts,Stripe,Cotten-long-pants,Floral,NA,NA
Aj (17).jpg,Casual,Hoodie,None,Cotten-long-pants,Floral,NA,NA
Aj (18).jpg,Casual,Shirts,None,Cotten-long-pants,Floral,NA,NA
Aj (23).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
Aj (24).jpg,Feminine,Long-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
Aj (25).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (26).jpg,Casual,Short-sleeve-tee,Dot,Cotten-long-pants,Floral,NA,NA
Aj (27).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Floral,NA,NA
Aj (30).jpg,Casual,Shirts,None,Cotten-long-pants,Floral,NA,NA
Aj (34).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Floral,NA,NA
Aj (28).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
Aj (29).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Floral,NA,NA
Aj (35).jpg,NA,NA,NA,NA,NA,NA,NA
Aj (32).jpg,Feminine,Short-sleeve-tee,None,NA,NA,one-piece,Dot
Aj (31).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Floral,NA,NA
Aj (33).jpg,Feminine,Short-sleeve-tee,Stripe,NA,NA,NA,NA
Aj (37).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (38).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (15).jpg,Formal,Short-sleeve-tee,None,NA,NA,NA,NA
Aj (39).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (50).jpg,Casual,Shirts,None,Cotten-long-pants,Floral,NA,NA
Aj (8).jpg,Casual,Short-sleeve-tee,None,NA,NA,NA,NA
Aj (9).jpg,Feminine,Long-sleeve-tee,None,NA,NA,NA,NA
Aj (10).jpg,NA,NA,NA,NA,NA,NA,NA
Aj (16).jpg,Casual,NA,NA,NA,NA,NA,NA
Aj (11).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (36).jpg,Feminine,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (12).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Floral,one-piece,Floral
Aj (13).jpg,Feminine,NA,NA,Cotten-long-pants,Floral,one-piece,Floral
Aj (14).jpg,Casual,Shirts,None,NA,NA,NA,NA
Aj (40).jpg,Casual,NA,NA,Cotten-long-pants,Floral,one-piece,Check
Aj (41).jpg,Feminine,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (42).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (43).jpg,Feminine,Shirts,None,Cotten-long-pants,Floral,NA,NA
Aj (44).jpg,Feminine,Long-sleeve-tee,None,NA,NA,NA,NA
Aj (45).jpg,Feminine,Shirts,Dot,NA,NA,NA,NA
Aj (46).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Floral,one-piece,Floral
Aj (47).jpg,Casual,NA,NA,Cotten-long-pants,Floral,NA,NA
Aj (48).jpg,Casual,NA,NA,NA,NA,one-piece,Floral
Aj (49).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Floral,NA,NA
Aj (1).jpg,Feminine,NA,NA,NA,NA,NA,NA
Aj (2).jpg,NA,NA,NA,NA,NA,NA,NA
Aj (3).jpg,Casual,Long-sleeve-tee,Leopard,NA,NA,NA,NA
Aj (4).jpg,Casual,Shirts,Floral,NA,NA,NA,NA
Aj (5).jpg,Casual,Shirts,None,NA,NA,NA,NA
Aj (6).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Floral,NA,NA
Aj (7).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
.ipynb_checkpoints,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,Floral,NA,NA
