img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ak (5).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (4).jpg,Formal,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (6).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (10).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (7).jpg,Feminine,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (9).jpg,Casual,NA,NA,NA,NA,NA,NA
Ak (18).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (12).jpg,Formal,Hoodie,Graphic,Cotten-long-pants,Graphic,NA,NA
Ak (8).jpg,NA,NA,NA,NA,NA,NA,NA
Ak (13).jpg,NA,NA,NA,NA,NA,NA,NA
Ak (14).jpg,Formal,Hoodie,None,Cotten-long-pants,Graphic,NA,NA
Ak (15).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Graphic,NA,NA
Ak (16).jpg,NA,NA,NA,NA,NA,NA,NA
Ak (17).jpg,Feminine,Hoodie,None,Cotten-long-pants,Graphic,NA,NA
Ak (11).jpg,NA,NA,NA,NA,NA,NA,NA
Ak (2).jpg,Casual,Hoodie,None,Cotten-long-pants,Graphic,NA,NA
Ak (3).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
Ak (1).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Graphic,NA,NA
