img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Al (11).jpg,Casual,Shirts,None,Cotten-long-pants,Leopard,NA,NA
Al (12).jpg,Feminine,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (14).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (15).jpg,Formal,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (16).jpg,NA,NA,NA,NA,NA,NA,NA
Al (17).jpg,Feminine,Shirts,None,Cotten-long-pants,Leopard,NA,NA
Al (18).jpg,Casual,Short-sleeve-tee,Dot,Cotten-long-pants,Leopard,NA,NA
Al (13).jpg,Feminine,Short-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (9).jpg,Feminine,NA,NA,Cotten-long-pants,Leopard,one-piece,Leopard
Al (10).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (8).jpg,Casual,Shirts,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (19).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (30).jpg,Feminine,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (1).jpg,Casual,Shirts,None,Cotten-long-pants,Leopard,one-piece,Leopard
Al (2).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (3).jpg,Feminine,Short-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (4).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (5).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (6).jpg,Casual,Shirts,None,Cotten-long-pants,Leopard,NA,NA
Al (7).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (20).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (21).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (22).jpg,Feminine,Short-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (23).jpg,Feminine,Shirts,None,Cotten-long-pants,Leopard,NA,NA
Al (24).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (25).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
Al (26).jpg,Feminine,NA,NA,NA,NA,one-piece,Leopard
Al (27).jpg,Formal,Shirts,None,Cotten-long-pants,Leopard,NA,NA
Al (28).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
Al (29).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Al (31).jpg,Formal,NA,NA,NA,NA,one-piece,Leopard
