img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Am (34).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (30).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Am (35).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (36).jpg,Casual,Short-sleeve-tee,None,NA,NA,NA,NA
Am (37).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Am (31).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (32).jpg,Casual,Shirts,Graphic,Cotten-long-pants,None,NA,NA
Am (33).jpg,Feminine,Shirts,None,Cotten-long-pants,None,NA,NA
Am (16).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (66).jpg,NA,NA,NA,NA,NA,NA,NA
Am (70).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (72).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (23).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (24).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Am (64).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
Am (65).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (67).jpg,Feminine,Long-sleeve-tee,Dot,Cotten-long-pants,None,NA,NA
Am (1).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (2).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (3).jpg,Casual,Long-sleeve-tee,Check,Cotten-long-pants,None,NA,NA
Am (4).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
Am (5).jpg,Casual,Long-sleeve-tee,Check,Cotten-long-pants,None,NA,NA
Am (6).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (7).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (8).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (9).jpg,Feminine,Shirts,None,Cotten-long-pants,None,NA,NA
Am (68).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Am (10).jpg,Casual,NA,NA,NA,NA,NA,NA
Am (11).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Am (12).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Am (13).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Am (14).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (15).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (17).jpg,Feminine,Shirts,None,Cotten-long-pants,None,NA,NA
Am (18).jpg,Casual,Hoodie,Check,Cotten-long-pants,None,NA,NA
Am (19).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (20).jpg,Feminine,NA,NA,NA,NA,NA,NA
Am (21).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (22).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (42).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (46).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (50).jpg,Casual,Hoodie,None,Cotten-long-pants,None,NA,NA
Am (51).jpg,Casual,Long-sleeve-tee,None,NA,NA,NA,NA
Am (53).jpg,NA,NA,NA,NA,NA,NA,NA
Am (43).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
Am (44).jpg,Feminine,Shirts,None,Cotten-long-pants,None,NA,NA
Am (45).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (69).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Am (71).jpg,Casual,Shirts,Graphic,Cotten-long-pants,None,NA,NA
Am (47).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
Am (48).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (49).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,one-piece,Stripe
Am (52).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (54).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Am (55).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (56).jpg,Casual,NA,NA,NA,NA,NA,NA
Am (57).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Am (58).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (59).jpg,Feminine,Hoodie,Stripe,Cotten-long-pants,None,NA,NA
Am (60).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (61).jpg,Casual,NA,NA,NA,NA,NA,NA
Am (62).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Am (63).jpg,Feminine,Hoodie,Graphic,Cotten-long-pants,None,NA,NA
Am (38).jpg,Feminine,Shirts,None,Cotten-long-pants,None,NA,NA
Am (39).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Am (40).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (41).jpg,Feminine,NA,NA,Cotten-long-pants,None,NA,NA
Am (27).jpg,Casual,Hoodie,Graphic,Cotten-long-pants,None,NA,NA
Am (28).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Am (29).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Am (25).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Am (26).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
