img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
An (7).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (9).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (27).jpg,Casual,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (28).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (6).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Stripe,NA,NA
An (26).jpg,Feminine,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (10).jpg,Feminine,NA,NA,NA,NA,NA,NA
An (4).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (5).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (25).jpg,Casual,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (8).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Stripe,NA,NA
An (24).jpg,Casual,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (23).jpg,Casual,NA,NA,NA,NA,NA,NA
An (11).jpg,Feminine,Shirts,Graphic,Cotten-long-pants,Stripe,NA,NA
An (30).jpg,Casual,NA,NA,NA,NA,one-piece,Stripe
An (2).jpg,Casual,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (29).jpg,Feminine,Short-sleeve-tee,Leopard,NA,NA,NA,NA
An (3).jpg,Casual,NA,NA,Cotten-long-pants,Stripe,NA,NA
An (1).jpg,Feminine,NA,NA,NA,NA,NA,NA
An (22).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (20).jpg,Feminine,Shirts,None,Cotten-long-pants,Stripe,NA,NA
An (21).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (19).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
An (12).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,Stripe,NA,NA
An (13).jpg,Casual,NA,NA,Cotten-long-pants,Stripe,NA,NA
An (14).jpg,Feminine,NA,NA,Cotten-long-pants,Stripe,one-piece,Stripe
An (15).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,Stripe,NA,NA
An (16).jpg,NA,NA,NA,NA,NA,NA,NA
An (17).jpg,Feminine,Shirts,Floral,Cotten-long-pants,Stripe,NA,NA
An (18).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
