img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ap (20).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Dot,NA,NA
Ap (18).jpg,Feminine,NA,NA,Cutoffs,Dot,one-piece,Dot
Ap (19).jpg,Casual,Short-sleeve-tee,Dot,Cutoffs,Dot,NA,NA
Ap (21).jpg,Casual,Short-sleeve-tee,Graphic,NA,NA,NA,NA
Ap (13).jpg,Feminine,Short-sleeve-tee,Floral,NA,NA,NA,NA
Ap (15).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Dot,NA,NA
Ap (1).jpg,Feminine,Shirts,None,Cutoffs,Dot,NA,NA
Ap (2).jpg,Feminine,Shirts,None,Cutoffs,Dot,NA,NA
Ap (3).jpg,NA,NA,NA,NA,NA,NA,NA
Ap (4).jpg,Feminine,Shirts,None,Cutoffs,Dot,NA,NA
Ap (5).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Dot,NA,NA
Ap (6).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,Dot,NA,NA
Ap (7).jpg,Feminine,Short-sleeve-tee,Floral,Cutoffs,Dot,NA,NA
Ap (8).jpg,Casual,Shirts,None,Cutoffs,Dot,NA,NA
Ap (9).jpg,Feminine,Short-sleeve-tee,Graphic,Cutoffs,Dot,NA,NA
Ap (10).jpg,Casual,Shirts,Stripe,Cutoffs,Dot,NA,NA
Ap (11).jpg,NA,NA,NA,NA,NA,NA,NA
Ap (12).jpg,Casual,Hoodie,None,Cutoffs,Dot,NA,NA
Ap (16).jpg,Casual,Shirts,None,Cutoffs,Dot,NA,NA
Ap (22).jpg,Casual,Shirts,None,Cutoffs,Dot,NA,NA
Ap (14).jpg,Feminine,NA,NA,Cutoffs,Dot,one-piece,Dot
