img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Aq (14).jpg,Casual,Shirts,None,Cutoffs,Floral,NA,NA
Aq (22).jpg,Formal,Shirts,None,Cutoffs,Floral,NA,NA
Aq (20).jpg,Feminine,Short-sleeve-tee,Floral,Cutoffs,Floral,NA,NA
Aq (13).jpg,Feminine,Short-sleeve-tee,None,NA,NA,NA,NA
Aq (2).jpg,Feminine,Shirts,None,Cutoffs,Floral,NA,NA
Aq (8).jpg,Casual,NA,NA,NA,NA,one-piece,Floral
Aq (10).jpg,Formal,Short-sleeve-tee,None,Cutoffs,Floral,NA,NA
Aq (11).jpg,Feminine,NA,NA,NA,NA,one-piece,Dot
Aq (12).jpg,Casual,NA,NA,NA,NA,one-piece,Floral
Aq (23).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Floral,NA,NA
Aq (1).jpg,Feminine,Long-sleeve-tee,Graphic,NA,NA,one-piece,Graphic
Aq (4).jpg,Casual,NA,NA,Cutoffs,Floral,NA,NA
Aq (6).jpg,Casual,Short-sleeve-tee,Check,Cutoffs,Floral,NA,NA
Aq (7).jpg,Feminine,Short-sleeve-tee,Floral,NA,NA,NA,NA
Aq (9).jpg,Feminine,Shirts,None,NA,NA,NA,NA
Aq (19).jpg,NA,NA,NA,NA,NA,NA,NA
Aq (21).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Floral,NA,NA
Aq (17).jpg,Feminine,Hoodie,None,Cutoffs,Floral,NA,NA
Aq (16).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Floral,NA,NA
Aq (3).jpg,Formal,Shirts,None,Cutoffs,Floral,NA,NA
Aq (18).jpg,Casual,Shirts,None,Cutoffs,Floral,NA,NA
Aq (15).jpg,Feminine,Shirts,Stripe,Cutoffs,Floral,NA,NA
