img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ar (12).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (21).jpg,Feminine,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (22).jpg,Casual,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (1).jpg,Casual,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (2).jpg,Feminine,Hoodie,Graphic,Cutoffs,Graphic,NA,NA
Ar (3).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (4).jpg,Casual,Shirts,Graphic,Cutoffs,Graphic,NA,NA
Ar (5).jpg,Casual,NA,NA,Cutoffs,Graphic,one-piece,Floral
Ar (23).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (13).jpg,Casual,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (11).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Graphic,NA,NA
Ar (9).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Graphic,NA,NA
Ar (6).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Graphic,NA,NA
Ar (7).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (8).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (10).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Graphic,NA,NA
Ar (17).jpg,Formal,Short-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (18).jpg,Feminine,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (15).jpg,Feminine,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (20).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (19).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Graphic,NA,NA
Ar (16).jpg,Casual,Shirts,None,Cutoffs,Graphic,NA,NA
Ar (14).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Graphic,NA,NA
