img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
As (23).jpg,Feminine,NA,NA,Cutoffs,Leopard,NA,NA
As (26).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (1).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (19).jpg,Feminine,Shirts,None,Cutoffs,Leopard,NA,NA
As (22).jpg,Formal,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (24).jpg,Feminine,Shirts,Graphic,Cutoffs,Leopard,NA,NA
As (25).jpg,Feminine,Shirts,None,Cutoffs,Leopard,NA,NA
As (18).jpg,Feminine,NA,NA,NA,NA,one-piece,Leopard
As (20).jpg,NA,NA,NA,NA,NA,NA,NA
As (21).jpg,Casual,Hoodie,None,Cutoffs,Leopard,NA,NA
As (17).jpg,Formal,Short-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (12).jpg,Formal,Short-sleeve-tee,Dot,NA,NA,NA,NA
As (3).jpg,Casual,Shirts,None,Cutoffs,Leopard,NA,NA
As (4).jpg,Feminine,Shirts,Graphic,Cutoffs,Leopard,NA,NA
As (5).jpg,Feminine,NA,NA,Cutoffs,Leopard,NA,NA
As (6).jpg,Feminine,Shirts,Leopard,Cutoffs,Leopard,NA,NA
As (7).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (8).jpg,Casual,NA,NA,Cutoffs,Leopard,NA,NA
As (9).jpg,Casual,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (10).jpg,Casual,Hoodie,None,Cutoffs,Leopard,NA,NA
As (11).jpg,Feminine,NA,NA,Cutoffs,Leopard,one-piece,Leopard
As (13).jpg,Casual,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (14).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (15).jpg,Formal,Short-sleeve-tee,None,Cutoffs,Leopard,NA,NA
As (16).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,Leopard,NA,NA
As (2).jpg,Feminine,Shirts,None,Cutoffs,Leopard,NA,NA
