img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
At (57).jpg,Casual,Long-sleeve-tee,Check,Cutoffs,None,NA,NA
At (58).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
At (59).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (60).jpg,Feminine,Shirts,Dot,Cutoffs,None,NA,NA
At (61).jpg,Casual,Shirts,Graphic,Cutoffs,None,NA,NA
At (54).jpg,Casual,Shirts,Dot,Cutoffs,None,NA,NA
At (55).jpg,Feminine,NA,NA,NA,NA,NA,NA
At (56).jpg,Feminine,NA,NA,Cutoffs,None,NA,NA
At (47).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (48).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (49).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (50).jpg,Casual,Shirts,Floral,Cutoffs,None,NA,NA
At (44).jpg,Feminine,Shirts,Dot,Cutoffs,None,NA,NA
At (45).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (46).jpg,Casual,Long-sleeve-tee,Dot,Cutoffs,None,NA,NA
At (65).jpg,Feminine,Shirts,Leopard,Cutoffs,None,NA,NA
At (66).jpg,Casual,Shirts,Leopard,NA,NA,NA,NA
At (67).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,None,NA,NA
At (69).jpg,Formal,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (70).jpg,Casual,Shirts,Stripe,Cutoffs,None,NA,NA
At (72).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (73).jpg,Casual,Shirts,Check,Cutoffs,None,NA,NA
At (74).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (75).jpg,Formal,Shirts,Check,Cutoffs,None,NA,NA
At (76).jpg,Casual,Shirts,Dot,Cutoffs,None,NA,NA
At (71).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (98).jpg,Feminine,Shirts,Stripe,Cutoffs,None,NA,NA
At (102).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (88).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (89).jpg,Feminine,Shirts,Dot,Cutoffs,None,NA,NA
At (90).jpg,Feminine,Shirts,Stripe,Cutoffs,None,NA,NA
At (91).jpg,Feminine,NA,NA,Cutoffs,None,NA,NA
At (92).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (93).jpg,Casual,Shirts,Stripe,Cutoffs,None,NA,NA
At (94).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (95).jpg,Formal,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (96).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (97).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (99).jpg,Feminine,Shirts,Check,Cutoffs,None,NA,NA
At (100).jpg,Formal,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (101).jpg,Feminine,Hoodie,Stripe,Cutoffs,None,NA,NA
At (103).jpg,Feminine,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (104).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (85).jpg,Feminine,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (86).jpg,Casual,Shirts,Stripe,Cutoffs,None,NA,NA
At (87).jpg,Formal,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (105).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (106).jpg,Feminine,Hoodie,Graphic,Cutoffs,None,NA,NA
At (62).jpg,Casual,Shirts,Leopard,Cutoffs,None,NA,NA
At (63).jpg,Formal,Shirts,Dot,Cutoffs,None,NA,NA
At (64).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (51).jpg,Feminine,NA,NA,Cutoffs,None,NA,NA
At (52).jpg,Formal,Shirts,Floral,Cutoffs,None,NA,NA
At (53).jpg,Formal,Shirts,Floral,Cutoffs,None,NA,NA
At (40).jpg,Formal,Shirts,None,Cutoffs,None,NA,NA
At (41).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (42).jpg,Feminine,Short-sleeve-tee,Graphic,Cutoffs,None,NA,NA
At (43).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (68).jpg,Casual,Shirts,Floral,Cutoffs,None,NA,NA
At (77).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (80).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (82).jpg,Formal,NA,NA,Cutoffs,None,NA,NA
At (78).jpg,Feminine,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
At (79).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (81).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (83).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
At (84).jpg,NA,NA,NA,NA,NA,NA,NA
At (13).jpg,Casual,Hoodie,Graphic,Cutoffs,None,NA,NA
At (110).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (112).jpg,Feminine,Shirts,Dot,Cutoffs,None,NA,NA
At (17).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (19).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
At (22).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (26).jpg,Formal,Shirts,Dot,Cutoffs,None,NA,NA
At (35).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (36).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (37).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
At (38).jpg,Casual,Shirts,Stripe,Cutoffs,None,NA,NA
At (39).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
At (111).jpg,Feminine,Shirts,Graphic,Cutoffs,None,NA,NA
At (113).jpg,Formal,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (114).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (1).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
At (2).jpg,Casual,Hoodie,Graphic,Cutoffs,None,NA,NA
At (3).jpg,Casual,Hoodie,None,Cutoffs,None,NA,NA
At (4).jpg,Feminine,Short-sleeve-tee,Graphic,Cutoffs,None,NA,NA
At (5).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
At (6).jpg,Casual,Shirts,Check,Cutoffs,None,NA,NA
At (7).jpg,Formal,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
At (8).jpg,Formal,Long-sleeve-tee,Dot,Cutoffs,None,NA,NA
