img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Au (5).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
Au (8).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
Au (4).jpg,Feminine,Short-sleeve-tee,Graphic,Cutoffs,Stripe,NA,NA
Au (6).jpg,NA,NA,NA,NA,NA,NA,NA
Au (7).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (9).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
Au (10).jpg,Feminine,Short-sleeve-tee,Dot,Cutoffs,Stripe,NA,NA
Au (11).jpg,Feminine,Hoodie,Graphic,Cutoffs,Stripe,NA,NA
Au (12).jpg,Casual,Shirts,None,Cutoffs,Stripe,NA,NA
Au (25).jpg,Casual,NA,NA,Cutoffs,Stripe,NA,NA
Au (1).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
Au (2).jpg,NA,NA,NA,NA,NA,NA,NA
Au (23).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (24).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,Stripe,NA,NA
Au (3).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (18).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
Au (22).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
Au (20).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (16).jpg,Feminine,NA,NA,Cutoffs,Stripe,NA,NA
Au (15).jpg,Feminine,Short-sleeve-tee,Graphic,Cutoffs,Stripe,NA,NA
Au (21).jpg,Feminine,Short-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
Au (19).jpg,Casual,Shirts,Stripe,Cutoffs,Stripe,NA,NA
Au (13).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (14).jpg,Casual,Short-sleeve-tee,None,Cutoffs,Stripe,NA,NA
Au (17).jpg,Feminine,Shirts,None,Cutoffs,Stripe,NA,NA
