img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Av (52).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (53).jpg,NA,NA,NA,NA,NA,NA,NA
Av (48).jpg,NA,NA,NA,NA,NA,NA,NA
Av (49).jpg,Casual,NA,NA,NA,NA,one-piece,Check
Av (50).jpg,Formal,Shirts,None,H-line-skirt,Check,NA,NA
Av (51).jpg,NA,NA,NA,NA,NA,NA,NA
Av (10).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (11).jpg,Feminine,NA,NA,H-line-skirt,Check,NA,NA
Av (14).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (17).jpg,Feminine,Shirts,Stripe,H-line-skirt,Check,one-piece,None
Av (19).jpg,Feminine,Shirts,None,H-line-skirt,Check,NA,NA
Av (26).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (27).jpg,Casual,NA,NA,H-line-skirt,Check,NA,NA
Av (36).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (39).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (44).jpg,Casual,Shirts,Dot,H-line-skirt,Check,NA,NA
Av (45).jpg,Casual,NA,NA,H-line-skirt,Check,NA,NA
Av (46).jpg,Casual,Hoodie,None,H-line-skirt,Check,one-piece,Stripe
Av (47).jpg,Formal,Shirts,None,H-line-skirt,Check,NA,NA
Av (12).jpg,NA,NA,NA,NA,NA,NA,NA
Av (13).jpg,Casual,NA,NA,H-line-skirt,Check,NA,NA
Av (15).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (16).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (18).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (20).jpg,Feminine,Shirts,None,H-line-skirt,Check,NA,NA
Av (21).jpg,Feminine,Short-sleeve-tee,Stripe,H-line-skirt,Check,NA,NA
Av (22).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (24).jpg,Casual,Hoodie,None,H-line-skirt,Check,NA,NA
Av (25).jpg,Feminine,Short-sleeve-tee,Graphic,H-line-skirt,Check,NA,NA
Av (28).jpg,Casual,NA,NA,H-line-skirt,Check,NA,NA
Av (29).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (30).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (31).jpg,Feminine,Shirts,None,H-line-skirt,Check,NA,NA
Av (32).jpg,NA,NA,NA,NA,NA,NA,NA
Av (33).jpg,NA,NA,NA,NA,NA,NA,NA
Av (34).jpg,Formal,Shirts,Leopard,H-line-skirt,Check,NA,NA
Av (37).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (38).jpg,Feminine,Shirts,None,H-line-skirt,Check,NA,NA
Av (40).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
Av (41).jpg,Casual,NA,NA,NA,NA,one-piece,Check
Av (42).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (43).jpg,Formal,Shirts,None,H-line-skirt,Check,NA,NA
Av (9).jpg,Casual,NA,NA,H-line-skirt,Check,one-piece,Check
Av (8).jpg,Feminine,NA,NA,H-line-skirt,Check,one-piece,Check
Av (3).jpg,NA,NA,NA,NA,NA,NA,NA
Av (4).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (5).jpg,Casual,Shirts,None,H-line-skirt,Check,NA,NA
Av (23).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,Check,NA,NA
Av (2).jpg,NA,NA,NA,NA,NA,NA,NA
Av (6).jpg,Feminine,Shirts,Leopard,H-line-skirt,Check,NA,NA
Av (60).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,Check,NA,NA
Av (7).jpg,Feminine,Shirts,Graphic,H-line-skirt,Check,NA,NA
Av (59).jpg,Feminine,Hoodie,Graphic,H-line-skirt,Check,NA,NA
Av (1).jpg,Feminine,Short-sleeve-tee,Graphic,H-line-skirt,Check,one-piece,Check
Av (58).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,Check,NA,NA
Av (57).jpg,Feminine,Hoodie,Graphic,H-line-skirt,Check,NA,NA
Av (61).jpg,Feminine,Hoodie,Graphic,NA,NA,one-piece,Stripe
Av (62).jpg,Feminine,NA,NA,H-line-skirt,Check,NA,NA
Av (56).jpg,Feminine,Hoodie,Graphic,H-line-skirt,Check,NA,NA
Av (54).jpg,Feminine,Hoodie,None,H-line-skirt,Check,NA,NA
Av (55).jpg,Feminine,Hoodie,Dot,H-line-skirt,Check,NA,NA
