img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ax (50).jpg,Casual,NA,NA,NA,NA,one-piece,Graphic
Ax (28).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (36).jpg,Casual,Shirts,Leopard,H-line-skirt,Floral,NA,NA
Ax (44).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (47).jpg,Feminine,NA,NA,H-line-skirt,Floral,NA,NA
Ax (48).jpg,Formal,Short-sleeve-tee,Dot,H-line-skirt,Floral,NA,NA
Ax (33).jpg,Feminine,Short-sleeve-tee,Stripe,H-line-skirt,Floral,NA,NA
Ax (45).jpg,Feminine,Long-sleeve-tee,Leopard,H-line-skirt,Floral,NA,NA
Ax (29).jpg,Feminine,NA,NA,H-line-skirt,Floral,NA,NA
Ax (30).jpg,Feminine,Shirts,Dot,H-line-skirt,Floral,NA,NA
Ax (31).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (32).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (35).jpg,Feminine,Shirts,Stripe,H-line-skirt,Floral,NA,NA
Ax (37).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (38).jpg,Feminine,Shirts,Stripe,H-line-skirt,Floral,NA,NA
Ax (39).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (40).jpg,NA,NA,NA,NA,NA,NA,NA
Ax (42).jpg,Casual,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (43).jpg,NA,NA,NA,NA,NA,NA,NA
Ax (46).jpg,Feminine,NA,NA,NA,NA,NA,NA
Ax (34).jpg,Casual,NA,NA,NA,NA,NA,NA
Ax (41).jpg,Feminine,NA,NA,H-line-skirt,Floral,NA,NA
Ax (20).jpg,Casual,NA,NA,H-line-skirt,Floral,one-piece,Floral
Ax (7).jpg,Formal,NA,NA,H-line-skirt,Floral,NA,NA
Ax (23).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (51).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (57).jpg,Feminine,Short-sleeve-tee,Stripe,H-line-skirt,Floral,NA,NA
Ax (5).jpg,Formal,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (14).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (15).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (24).jpg,Casual,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (26).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (62).jpg,Formal,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (52).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (19).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (61).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (12).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (11).jpg,Casual,NA,NA,H-line-skirt,Floral,NA,NA
Ax (60).jpg,Casual,Shirts,Leopard,H-line-skirt,Floral,NA,NA
Ax (53).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (22).jpg,Casual,NA,NA,H-line-skirt,Floral,NA,NA
Ax (1).jpg,Casual,Hoodie,None,H-line-skirt,Floral,NA,NA
Ax (8).jpg,Feminine,Shirts,Dot,H-line-skirt,Floral,NA,NA
Ax (13).jpg,NA,NA,NA,NA,NA,NA,NA
Ax (18).jpg,Feminine,Short-sleeve-tee,Stripe,H-line-skirt,Floral,NA,NA
Ax (49).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
Ax (17).jpg,Casual,Shirts,Leopard,H-line-skirt,Floral,NA,NA
Ax (4).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (3).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (27).jpg,Casual,Hoodie,None,H-line-skirt,Floral,NA,NA
Ax (25).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (59).jpg,Casual,Shirts,Stripe,H-line-skirt,Floral,NA,NA
Ax (2).jpg,Formal,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (6).jpg,Casual,Hoodie,None,H-line-skirt,Floral,NA,NA
Ax (54).jpg,Casual,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (16).jpg,Feminine,NA,NA,H-line-skirt,Floral,NA,NA
Ax (56).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Floral,NA,NA
Ax (58).jpg,Casual,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (55).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (9).jpg,Feminine,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (10).jpg,Casual,Shirts,None,H-line-skirt,Floral,NA,NA
Ax (21).jpg,NA,NA,NA,NA,NA,NA,NA
