img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ba (102).jpg,Feminine,Shirts,Dot,H-line-skirt,None,NA,NA
Ba (98).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (99).jpg,Casual,Shirts,Check,H-line-skirt,None,NA,NA
Ba (100).jpg,Feminine,NA,NA,H-line-skirt,None,one-piece,Graphic
Ba (101).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (52).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (47).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (48).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (49).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (50).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
Ba (51).jpg,Casual,Shirts,Graphic,H-line-skirt,None,NA,NA
Ba (60).jpg,Casual,Short-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Ba (63).jpg,Casual,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (53).jpg,Formal,Short-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Ba (54).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (55).jpg,Feminine,NA,NA,NA,NA,NA,NA
Ba (56).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (57).jpg,Casual,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (58).jpg,Casual,NA,NA,H-line-skirt,None,one-piece,Stripe
Ba (59).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (61).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (62).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (64).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (93).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Ba (74).jpg,Feminine,Shirts,Dot,H-line-skirt,None,NA,NA
Ba (81).jpg,Feminine,Shirts,Check,H-line-skirt,None,NA,NA
Ba (91).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
Ba (94).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (96).jpg,Feminine,Short-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Ba (97).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (65).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (66).jpg,Formal,NA,NA,NA,NA,one-piece,Dot
Ba (68).jpg,Feminine,Shirts,Check,H-line-skirt,None,NA,NA
Ba (69).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (70).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
Ba (71).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Ba (72).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (73).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (75).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (76).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (77).jpg,Casual,Long-sleeve-tee,Dot,H-line-skirt,None,NA,NA
Ba (78).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (79).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (80).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (82).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (83).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (84).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (85).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (86).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (87).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (88).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Ba (89).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (90).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (92).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (3).jpg,Feminine,Shirts,Check,H-line-skirt,None,NA,NA
Ba (46).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (11).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (22).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Ba (24).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (35).jpg,Formal,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (9).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (12).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (30).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (36).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (37).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Ba (38).jpg,Formal,Shirts,Graphic,H-line-skirt,None,NA,NA
Ba (39).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (40).jpg,Casual,NA,NA,H-line-skirt,None,one-piece,Dot
Ba (41).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
Ba (42).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (43).jpg,Casual,Shirts,Floral,H-line-skirt,None,NA,NA
Ba (4).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (5).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
Ba (6).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (7).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (8).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
Ba (10).jpg,Formal,Short-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Ba (13).jpg,Formal,NA,NA,H-line-skirt,None,NA,NA
Ba (14).jpg,Casual,NA,NA,NA,NA,one-piece,Graphic
Ba (16).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (17).jpg,Feminine,Long-sleeve-tee,Dot,H-line-skirt,None,NA,NA
Ba (19).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (20).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (21).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (23).jpg,Feminine,Hoodie,None,H-line-skirt,None,NA,NA
Ba (25).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (26).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Ba (95).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
Ba (27).jpg,Feminine,Shirts,None,H-line-skirt,None,NA,NA
Ba (28).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Ba (29).jpg,Casual,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (67).jpg,Casual,Shirts,Floral,H-line-skirt,None,NA,NA
Ba (31).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (32).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (33).jpg,Casual,Long-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Ba (34).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Ba (15).jpg,Feminine,NA,NA,NA,NA,NA,NA
Ba (18).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Ba (2).jpg,Formal,Shirts,Stripe,H-line-skirt,None,NA,NA
Ba (1).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Ba (45).jpg,NA,NA,NA,NA,NA,NA,NA
Ba (44).jpg,Casual,Shirts,Leopard,H-line-skirt,None,NA,NA
