img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bb (24).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
Bb (22).jpg,Feminine,Shirts,Check,H-line-skirt,Stripe,one-piece,Stripe
Bb (23).jpg,Casual,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (4).jpg,Formal,NA,NA,NA,NA,NA,NA
Bb (28).jpg,Formal,NA,NA,H-line-skirt,Stripe,one-piece,Stripe
Bb (14).jpg,NA,NA,NA,NA,NA,NA,NA
Bb (15).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Stripe,NA,NA
Bb (16).jpg,Casual,Shirts,Dot,NA,NA,one-piece,Leopard
Bb (17).jpg,Feminine,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (18).jpg,Feminine,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (19).jpg,Feminine,NA,NA,NA,NA,one-piece,Stripe
Bb (27).jpg,NA,NA,NA,NA,NA,NA,NA
Bb (29).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Stripe,NA,NA
Bb (30).jpg,Casual,Short-sleeve-tee,Leopard,H-line-skirt,Stripe,NA,NA
Bb (31).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,Stripe,NA,NA
Bb (1).jpg,Feminine,NA,NA,H-line-skirt,Stripe,NA,NA
Bb (2).jpg,NA,NA,NA,NA,NA,NA,NA
Bb (3).jpg,NA,NA,NA,NA,NA,NA,NA
Bb (5).jpg,Feminine,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (6).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,Stripe,one-piece,Stripe
Bb (8).jpg,NA,NA,NA,NA,NA,NA,NA
Bb (9).jpg,Casual,NA,NA,H-line-skirt,Stripe,NA,NA
Bb (10).jpg,Casual,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (11).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Stripe,one-piece,Stripe
Bb (20).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,Stripe,NA,NA
Bb (12).jpg,Casual,NA,NA,H-line-skirt,Stripe,one-piece,Stripe
Bb (13).jpg,Formal,NA,NA,H-line-skirt,Stripe,NA,NA
Bb (26).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,Stripe,NA,NA
Bb (7).jpg,Casual,Shirts,None,H-line-skirt,Stripe,NA,NA
Bb (21).jpg,Feminine,Short-sleeve-tee,Graphic,H-line-skirt,Stripe,NA,NA
Bb (25).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Stripe,NA,NA
