img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bl (3).jpg,Casual,Long-sleeve-tee,Dot,Chiffon-skirt,Stripe,NA,NA
Bl (9).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
Bl (6).jpg,Feminine,Long-sleeve-tee,Dot,H-line-skirt,None,NA,NA
Bl (7).jpg,Casual,Long-sleeve-tee,Dot,Cotten-long-pants,None,NA,NA
Bl (4).jpg,Casual,NA,NA,Cutoffs,None,One-piece,Dot
Bl (2).jpg,Feminine,Long-sleeve-tee,Dot,Jeans,None,NA,NA
Bl (8).jpg,Casual,Long-sleeve-tee,Dot,Jeans,None,NA,NA
Bl (1).jpg,Casual,Long-sleeve-tee,Dot,Cotten-long-pants,None,NA,NA
Bl (13).jpg,Feminine,Long-sleeve-tee,Dot,H-line-skirt,None,NA,NA
Bl (5).jpg,Formal,Long-sleeve-tee,Dot,Cotten-long-pants,None,NA,NA
Bl (10).jpg,Feminine,Long-sleeve-tee,Dot,H-line-skirt,None,NA,NA
Bl (11).jpg,Formal,Long-sleeve-tee,Dot,Cutoffs,None,NA,NA
Bl (12).jpg,Casual,Long-sleeve-tee,Dot,NA,NA,One-piece,Floral
.ipynb_checkpoints,Casual,Long-sleeve-tee,Dot,NA,NA,One-piece,Floral
