img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bn (19).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (2).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (66).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (63).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (23).jpg,Formal,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (39).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (15).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (13).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (4).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (46).jpg,Feminine,Long-sleeve-tee,Graphic,NA,NA,One-piece,Graphic
Bn (33).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Check,NA,NA
Bn (55).jpg,Casual,Long-sleeve-tee,Graphic,Chiffon-skirt,None,NA,NA
Bn (64).jpg,Casual,Long-sleeve-tee,Graphic,Chiffon-skirt,Check,NA,NA
Bn (47).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (16).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (17).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (8).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (14).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (12).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (18).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (62).jpg,Casual,Long-sleeve-tee,Graphic,NA,NA,NA,NA
Bn (26).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (22).jpg,Feminine,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Bn (7).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (30).jpg,Casual,Long-sleeve-tee,Graphic,NA,NA,NA,NA
Bn (32).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (25).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (5).jpg,Casual,Long-sleeve-tee,Graphic,NA,NA,One-piece,None
Bn (28).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (27).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (6).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (9).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (1).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (10).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (3).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Dot,NA,NA
Bn (24).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (67).jpg,Feminine,Long-sleeve-tee,Graphic,H-line-skirt,Leopard,NA,NA
Bn (11).jpg,Casual,Long-sleeve-tee,Graphic,Chiffon-skirt,Stripe,NA,NA
Bn (21).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Check,NA,NA
Bn (20).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (65).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (58).jpg,Casual,Long-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
Bn (59).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (44).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (40).jpg,Feminine,Long-sleeve-tee,Graphic,Chiffon-skirt,None,NA,NA
Bn (43).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (52).jpg,Feminine,Long-sleeve-tee,Graphic,Chiffon-skirt,None,NA,NA
Bn (29).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (37).jpg,Formal,Long-sleeve-tee,Graphic,Cutoffs,Check,One-piece,None
Bn (34).jpg,Formal,Long-sleeve-tee,Graphic,Jeans,Leopard,NA,NA
Bn (45).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Bn (53).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Bn (56).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (50).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (51).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (31).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (41).jpg,Formal,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (48).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (49).jpg,Casual,Long-sleeve-tee,Graphic,Chiffon-skirt,None,NA,NA
Bn (35).jpg,Formal,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
Bn (38).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (36).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (57).jpg,Feminine,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
Bn (54).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
Bn (42).jpg,Feminine,Long-sleeve-tee,Graphic,Chiffon-skirt,None,NA,NA
Bn (61).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
Bn (60).jpg,Feminine,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
