img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bp (36).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Bp (21).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,None,NA,NA
Bp (28).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (29).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
Bp (30).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (31).jpg,Feminine,NA,NA,NA,NA,NA,NA
Bp (32).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
Bp (33).jpg,Casual,Long-sleeve-tee,None,Jeans,Dot,NA,NA
Bp (34).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (14).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (12).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
Bp (13).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (11).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (8).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (7).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (6).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (5).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (4).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (3).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (98).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (99).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (22).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (23).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (24).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (25).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
Bp (26).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (27).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (35).jpg,Casual,Long-sleeve-tee,None,Chiffon-skirt,Floral,One-piece,Floral
Bp (10).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (9).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (2).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Bp (1).jpg,Feminine,NA,NA,NA,NA,One-piece,None
Bp (74).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
Bp (100).jpg,Feminine,Long-sleeve-tee,None,Cotten-long-pants,Graphic,NA,NA
Bp (96).jpg,Feminine,Long-sleeve-tee,None,Chiffon-skirt,Check,NA,NA
Bp (97).jpg,Casual,Long-sleeve-tee,None,Cutoffs,Dot,NA,NA
Bp (41).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
