img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bq (8).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (6).jpg,Feminine,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (10).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (11).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (12).jpg,Feminine,Long-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
Bq (9).jpg,Casual,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (13).jpg,Feminine,Long-sleeve-tee,Stripe,Cutoffs,Dot,NA,NA
Bq (14).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (15).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,Dot,NA,NA
Bq (16).jpg,Feminine,Long-sleeve-tee,Stripe,Cutoffs,Check,NA,NA
Bq (17).jpg,NA,NA,NA,NA,NA,NA,NA
Bq (18).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (19).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (20).jpg,Feminine,Long-sleeve-tee,Stripe,Jeans,Stripe,NA,NA
Bq (21).jpg,Feminine,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (4).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (5).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (70).jpg,Feminine,NA,NA,NA,NA,One-piece,Dot
Bq (26).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Bq (65).jpg,Formal,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (22).jpg,Feminine,Long-sleeve-tee,Stripe,Chiffon-skirt,None,NA,NA
Bq (53).jpg,Feminine,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (67).jpg,Feminine,Long-sleeve-tee,Stripe,Cotten-long-pants,Dot,NA,NA
Bq (27).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,Stripe,NA,NA
Bq (23).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (64).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (29).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (2).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (30).jpg,Casual,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (28).jpg,Casual,Long-sleeve-tee,Stripe,H-line-skirt,Stripe,NA,NA
Bq (1).jpg,Casual,Long-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Bq (68).jpg,Casual,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Bq (24).jpg,Casual,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (32).jpg,Casual,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (54).jpg,Casual,Long-sleeve-tee,Stripe,Jeans,None,NA,NA
Bq (3).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,Leopard,NA,NA
Bq (7).jpg,Formal,Long-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Bq (25).jpg,Casual,Long-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
