img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Br (6).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (7).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (8).jpg,Casual,Shirts,Check,Cotten-long-pants,Check,NA,NA
Br (1).jpg,Feminine,Shirts,Check,H-line-skirt,None,NA,NA
Br (2).jpg,Casual,Shirts,Check,Cotten-long-pants,Check,NA,NA
Br (3).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (4).jpg,Casual,Shirts,Check,Cutoffs,Stripe,NA,NA
Br (27).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (9).jpg,Casual,Shirts,Check,Cotten-long-pants,Dot,NA,NA
Br (10).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (11).jpg,Formal,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (12).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (13).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (14).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (15).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (16).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (17).jpg,Casual,Shirts,Check,Chiffon-skirt,None,NA,NA
Br (18).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (19).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (5).jpg,NA,NA,NA,NA,NA,NA,NA
Br (38).jpg,Casual,Shirts,Check,Jeans,Stripe,NA,NA
Br (26).jpg,Feminine,NA,NA,Chiffon-skirt,None,NA,NA
Br (31).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (23).jpg,Formal,Shirts,Check,Chiffon-skirt,None,NA,NA
Br (29).jpg,Feminine,Shirts,Check,Chiffon-skirt,Stripe,NA,NA
Br (20).jpg,Feminine,Shirts,Check,Chiffon-skirt,Floral,NA,NA
Br (24).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (34).jpg,Feminine,Shirts,Check,Jeans,None,NA,NA
Br (25).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (37).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
Br (35).jpg,Casual,Shirts,Check,H-line-skirt,None,NA,NA
Br (33).jpg,Casual,NA,NA,Jeans,None,NA,NA
Br (30).jpg,Casual,Shirts,Check,Cutoffs,Stripe,NA,NA
Br (32).jpg,Formal,Shirts,Check,Jeans,Leopard,NA,NA
Br (36).jpg,Casual,Shirts,Check,Cutoffs,None,NA,NA
Br (22).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
Br (21).jpg,Casual,Shirts,Check,Cotten-long-pants,Dot,NA,NA
Br (28).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
.ipynb_checkpoints,Casual,Shirts,Check,Jeans,None,NA,NA
