img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bs (14).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Bs (9).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
Bs (10).jpg,Casual,NA,NA,Chiffon-skirt,Leopard,NA,NA
Bs (11).jpg,NA,NA,NA,NA,NA,NA,NA
Bs (12).jpg,NA,NA,NA,NA,NA,NA,NA
Bs (13).jpg,NA,NA,NA,NA,NA,NA,NA
Bs (15).jpg,Feminine,NA,NA,Cutoffs,None,NA,NA
Bs (24).jpg,Formal,Shirts,Dot,Chiffon-skirt,Dot,NA,NA
Bs (21).jpg,Feminine,Shirts,Dot,Cutoffs,Dot,NA,NA
Bs (25).jpg,Casual,Shirts,Dot,Jeans,None,NA,NA
Bs (30).jpg,Casual,NA,NA,H-line-skirt,Dot,One-piece,Dot
Bs (6).jpg,Formal,Shirts,Dot,Cotten-long-pants,Dot,NA,NA
Bs (8).jpg,Casual,Shirts,Dot,Chiffon-skirt,None,NA,NA
Bs (23).jpg,Formal,NA,NA,Cutoffs,None,NA,NA
Bs (5).jpg,Casual,Shirts,Dot,Cotten-long-pants,None,NA,NA
Bs (22).jpg,Feminine,NA,NA,NA,NA,NA,NA
Bs (19).jpg,Feminine,Shirts,Dot,H-line-skirt,None,NA,NA
Bs (17).jpg,Casual,Shirts,Dot,H-line-skirt,Leopard,NA,NA
Bs (3).jpg,Casual,Shirts,Dot,H-line-skirt,None,NA,NA
Bs (32).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
Bs (33).jpg,Formal,Shirts,Dot,Jeans,None,NA,NA
Bs (31).jpg,Casual,Shirts,Dot,Chiffon-skirt,Dot,NA,NA
Bs (34).jpg,Casual,NA,NA,Cotten-long-pants,Dot,NA,NA
Bs (29).jpg,Casual,Shirts,Dot,Cotten-long-pants,Dot,NA,NA
Bs (1).jpg,Casual,Shirts,Dot,Jeans,Leopard,NA,NA
Bs (20).jpg,Casual,Shirts,Dot,Cotten-long-pants,None,NA,NA
Bs (16).jpg,Casual,Shirts,Dot,Cotten-long-pants,None,NA,NA
Bs (7).jpg,Casual,Shirts,Dot,Cutoffs,Dot,NA,NA
Bs (18).jpg,Feminine,Shirts,Dot,NA,NA,One-piece,Floral
Bs (2).jpg,NA,NA,NA,NA,NA,NA,NA
Bs (4).jpg,NA,NA,NA,NA,NA,NA,NA
Bs (27).jpg,Casual,Shirts,Dot,Chiffon-skirt,None,NA,NA
Bs (28).jpg,Casual,Shirts,Dot,Cotten-long-pants,None,NA,NA
Bs (26).jpg,Formal,NA,NA,H-line-skirt,None,One-piece,Dot
.ipynb_checkpoints,Formal,NA,NA,H-line-skirt,None,One-piece,Dot
