img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bt (30).jpg,Feminine,NA,NA,Chiffon-skirt,None,NA,NA
Bt (31).jpg,Casual,Shirts,Floral,Cutoffs,None,NA,NA
Bt (26).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (27).jpg,NA,NA,NA,NA,NA,NA,NA
Bt (28).jpg,NA,NA,NA,NA,NA,NA,NA
Bt (29).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Bt (14).jpg,Feminine,NA,NA,NA,NA,One-piece,None
Bt (15).jpg,Casual,Shirts,Floral,Cotten-long-pants,None,NA,NA
Bt (24).jpg,Feminine,Shirts,Floral,Cutoffs,Check,NA,NA
Bt (25).jpg,Feminine,Shirts,Floral,Cutoffs,None,NA,NA
Bt (16).jpg,Casual,Shirts,Floral,Cotten-long-pants,None,NA,NA
Bt (10).jpg,Feminine,NA,NA,Chiffon-skirt,None,One-piece,Floral
Bt (18).jpg,Feminine,Shirts,Floral,Chiffon-skirt,None,NA,NA
Bt (21).jpg,Feminine,Shirts,Floral,Chiffon-skirt,None,NA,NA
Bt (12).jpg,Casual,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (2).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (23).jpg,Feminine,Shirts,Floral,Chiffon-skirt,None,NA,NA
Bt (9).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
Bt (3).jpg,Feminine,NA,NA,Cutoffs,None,One-piece,None
Bt (1).jpg,Feminine,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (13).jpg,Feminine,NA,NA,H-line-skirt,None,NA,NA
Bt (4).jpg,Formal,Shirts,Floral,H-line-skirt,Dot,NA,NA
Bt (6).jpg,Feminine,NA,NA,Chiffon-skirt,None,NA,NA
Bt (19).jpg,Casual,Shirts,Floral,Jeans,None,NA,NA
Bt (17).jpg,Feminine,Shirts,Floral,H-line-skirt,Leopard,NA,NA
Bt (22).jpg,Casual,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (11).jpg,Formal,Shirts,Floral,H-line-skirt,None,NA,NA
Bt (20).jpg,Casual,NA,NA,Cotten-long-pants,Check,NA,NA
Bt (7).jpg,Formal,Shirts,Floral,Cotten-long-pants,Leopard,NA,NA
Bt (5).jpg,Casual,Shirts,Floral,Cotten-long-pants,None,NA,NA
Bt (8).jpg,Casual,NA,NA,H-line-skirt,Stripe,NA,NA
