img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bv (6).jpg,Casual,Shirts,Leopard,H-line-skirt,Stripe,NA,NA
Bv (7).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (8).jpg,Formal,NA,NA,H-line-skirt,Leopard,NA,NA
Bv (9).jpg,Feminine,Shirts,Leopard,H-line-skirt,Leopard,NA,NA
Bv (29).jpg,Feminine,Shirts,Leopard,Cutoffs,Leopard,NA,NA
Bv (30).jpg,Formal,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (31).jpg,Feminine,NA,NA,NA,NA,NA,NA
Bv (32).jpg,Formal,Shirts,Leopard,Chiffon-skirt,Leopard,NA,NA
Bv (33).jpg,Casual,Shirts,Leopard,Cotten-long-pants,None,NA,NA
Bv (1).jpg,Casual,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (2).jpg,Feminine,Shirts,Leopard,Cutoffs,Leopard,NA,NA
Bv (3).jpg,Feminine,NA,NA,Cutoffs,Stripe,NA,NA
Bv (4).jpg,Casual,Shirts,Leopard,Cotten-long-pants,Dot,NA,NA
Bv (5).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (24).jpg,Casual,Shirts,Leopard,Chiffon-skirt,Stripe,NA,NA
Bv (13).jpg,Feminine,Shirts,Leopard,Jeans,Graphic,NA,NA
Bv (15).jpg,Casual,Shirts,Leopard,Cotten-long-pants,None,NA,NA
Bv (11).jpg,Formal,Shirts,Leopard,Jeans,None,NA,NA
Bv (12).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (23).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (22).jpg,Casual,Shirts,Leopard,Jeans,Leopard,NA,NA
Bv (10).jpg,Feminine,Shirts,Leopard,H-line-skirt,Stripe,NA,NA
Bv (19).jpg,Feminine,Shirts,Leopard,H-line-skirt,Stripe,NA,NA
Bv (27).jpg,Casual,Shirts,Leopard,Jeans,None,NA,NA
Bv (16).jpg,Casual,Shirts,Leopard,H-line-skirt,Leopard,NA,NA
Bv (28).jpg,Casual,Shirts,Leopard,Chiffon-skirt,Leopard,NA,NA
Bv (21).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
Bv (25).jpg,Feminine,Shirts,Leopard,Cutoffs,Leopard,NA,NA
Bv (17).jpg,Feminine,Shirts,Leopard,Cutoffs,Stripe,NA,NA
Bv (20).jpg,Feminine,Shirts,Leopard,Chiffon-skirt,Check,NA,NA
Bv (14).jpg,Feminine,NA,NA,H-line-skirt,Leopard,NA,NA
Bv (18).jpg,Feminine,Shirts,Leopard,H-line-skirt,Dot,NA,NA
Bv (26).jpg,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
.ipynb_checkpoints,Feminine,Shirts,Leopard,H-line-skirt,None,NA,NA
