img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Bx (4).jpg,Casual,Shirts,Stripe,Jeans,Leopard,NA,NA
Bx (5).jpg,Casual,Shirts,Stripe,Jeans,Dot,NA,NA
Bx (6).jpg,Feminine,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (22).jpg,Casual,Shirts,Stripe,Cotten-long-pants,Dot,NA,NA
Bx (32).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (30).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (29).jpg,Casual,Shirts,Stripe,Cotten-long-pants,Check,NA,NA
Bx (3).jpg,Feminine,Shirts,Stripe,Cutoffs,None,NA,NA
Bx (7).jpg,Casual,Shirts,Stripe,Jeans,None,NA,NA
Bx (8).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (9).jpg,Casual,Shirts,Stripe,Cutoffs,Stripe,NA,NA
Bx (10).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (11).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (12).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (24).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (23).jpg,Casual,Shirts,Stripe,Jeans,None,NA,NA
Bx (16).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (35).jpg,Feminine,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (19).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (1).jpg,Feminine,Shirts,Stripe,Chiffon-skirt,None,NA,NA
Bx (31).jpg,Formal,NA,NA,H-line-skirt,None,One-piece,None
Bx (14).jpg,Feminine,Shirts,Stripe,Jeans,None,NA,NA
Bx (18).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Bx (15).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Bx (2).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Bx (20).jpg,Feminine,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (33).jpg,Feminine,Shirts,Stripe,H-line-skirt,None,NA,NA
Bx (17).jpg,Casual,Shirts,Stripe,H-line-skirt,None,NA,NA
Bx (34).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (21).jpg,Casual,Shirts,Stripe,Jeans,None,NA,NA
Bx (25).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
Bx (27).jpg,Casual,NA,NA,Cutoffs,Check,NA,NA
Bx (26).jpg,Feminine,Shirts,Stripe,Cutoffs,Stripe,NA,NA
Bx (28).jpg,Casual,Shirts,Stripe,Cutoffs,Stripe,NA,NA
