img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Cc (4).jpg,Feminine,Short-sleeve-tee,Leopard,Chiffon-skirt,Stripe,NA,NA
Cc (5).jpg,Feminine,Short-sleeve-tee,Leopard,H-line-skirt,None,NA,NA
Cc (22).jpg,Formal,Short-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Cc (15).jpg,Casual,Short-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Cc (13).jpg,Feminine,Short-sleeve-tee,Leopard,H-line-skirt,Stripe,NA,NA
Cc (9).jpg,Feminine,Short-sleeve-tee,Leopard,Cutoffs,Stripe,NA,NA
Cc (12).jpg,Casual,Short-sleeve-tee,Leopard,Cutoffs,Dot,NA,NA
Cc (11).jpg,Feminine,Short-sleeve-tee,Leopard,Cutoffs,Leopard,NA,NA
Cc (19).jpg,Feminine,Short-sleeve-tee,Leopard,Cutoffs,Check,NA,NA
Cc (2).jpg,Formal,Short-sleeve-tee,Leopard,Jeans,Leopard,NA,NA
Cc (18).jpg,Formal,Short-sleeve-tee,Leopard,Jeans,None,NA,NA
Cc (17).jpg,Formal,Short-sleeve-tee,Leopard,Cutoffs,Stripe,NA,NA
Cc (21).jpg,Casual,Short-sleeve-tee,Leopard,H-line-skirt,Dot,NA,NA
Cc (20).jpg,Casual,Short-sleeve-tee,Leopard,Jeans,Leopard,NA,NA
Cc (1).jpg,Casual,Short-sleeve-tee,Leopard,Jeans,None,NA,NA
Cc (3).jpg,Casual,Short-sleeve-tee,Leopard,Jeans,None,NA,NA
Cc (16).jpg,Casual,Short-sleeve-tee,Leopard,Jeans,None,NA,NA
Cc (10).jpg,Feminine,Short-sleeve-tee,Leopard,Cotten-long-pants,Graphic,NA,NA
Cc (14).jpg,Casual,Short-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Cc (6).jpg,Feminine,Short-sleeve-tee,Leopard,H-line-skirt,Leopard,NA,NA
Cc (7).jpg,Feminine,Short-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
Cc (8).jpg,Casual,Short-sleeve-tee,Leopard,Cotten-long-pants,None,NA,NA
