img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Cd (13).jpg,NA,NA,NA,NA,NA,NA,NA
Cd (14).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (15).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (16).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (17).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
Cd (18).jpg,NA,NA,NA,NA,NA,NA,NA
Cd (19).jpg,NA,NA,NA,NA,NA,NA,NA
Cd (20).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (21).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (8).jpg,Casual,Short-sleeve-tee,None,Jeans,Leopard,NA,NA
Cd (9).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (10).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
Cd (11).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
Cd (12).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (7).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (3).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (4).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (1).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (33).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (32).jpg,Formal,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
Cd (2).jpg,Casual,NA,NA,H-line-skirt,None,One-piece,Graphic
Cd (28).jpg,Feminine,NA,NA,Cutoffs,Check,One-piece,Check
Cd (23).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,Floral,NA,NA
Cd (24).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,Check,NA,NA
Cd (27).jpg,Feminine,Short-sleeve-tee,None,Jeans,Leopard,NA,NA
Cd (30).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
Cd (25).jpg,Feminine,Short-sleeve-tee,None,Chiffon-skirt,None,NA,NA
Cd (29).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
Cd (6).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
Cd (22).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
Cd (26).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,Dot,NA,NA
Cd (5).jpg,Casual,Short-sleeve-tee,None,Chiffon-skirt,Floral,NA,NA
Cd (31).jpg,Casual,Short-sleeve-tee,None,Jeans,Leopard,NA,NA
