img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
Ce (22).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (23).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Dot,NA,NA
Ce (24).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (25).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (26).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Ce (20).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,None,NA,NA
Ce (21).jpg,Casual,Short-sleeve-tee,Stripe,H-line-skirt,Dot,NA,NA
Ce (12).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (11).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Ce (10).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (3).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,None,NA,NA
Ce (13).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (18).jpg,Formal,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (32).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Leopard,NA,NA
Ce (33).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,None,NA,NA
Ce (30).jpg,Feminine,Short-sleeve-tee,Stripe,Cutoffs,Check,NA,NA
Ce (19).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (17).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
Ce (1).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Ce (31).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Ce (14).jpg,Casual,Short-sleeve-tee,Stripe,H-line-skirt,None,NA,NA
Ce (9).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,Leopard,NA,NA
Ce (7).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (2).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,Leopard,NA,NA
Ce (5).jpg,Feminine,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (8).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (15).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Check,NA,NA
Ce (4).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,None,NA,NA
Ce (16).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,None,NA,NA
Ce (6).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,Leopard,NA,NA
Ce (29).jpg,Feminine,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
Ce (28).jpg,Formal,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
Ce (27).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
.ipynb_checkpoints,Casual,Short-sleeve-tee,Stripe,Cutoffs,Stripe,NA,NA
