img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
codibook (702).jpg,Feminine,Long-sleeve-tee,Check,Cutoffs,None,NA,NA
codibook (703).jpg,Casual,Shirts,None,H-line-skirt,None,NA,NA
codibook (704).jpg,Casual,Shirts,Floral,NA,NA,NA,NA
codibook (706).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (705).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
codibook (707).jpg,Casual,Short-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
codibook (708).jpg,Formal,NA,NA,NA,NA,NA,NA
codibook (710).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
codibook (709).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (601).jpg,Casual,NA,NA,Jeans,None,NA,NA
codibook (602).jpg,Formal,Shirts,None,H-line-skirt,None,NA,NA
codibook (604).jpg,Formal,Shirts,Dot,Chiffon-skirt,None,NA,NA
codibook (603).jpg,Casual,NA,NA,NA,NA,NA,NA
codibook (605).jpg,Feminine,Shirts,Stripe,Cutoffs,Dot,NA,NA
codibook (606).jpg,Casual,Long-sleeve-tee,Check,H-line-skirt,Dot,NA,NA
codibook (608).jpg,Feminine,Short-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (607).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
codibook (609).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (617).jpg,Formal,Shirts,Check,Cotten-long-pants,None,NA,NA
codibook (612).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
codibook (611).jpg,Feminine,Short-sleeve-tee,Graphic,NA,NA,NA,NA
codibook (610).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (613).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
codibook (614).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
codibook (616).jpg,Feminine,Shirts,None,Jeans,None,NA,NA
codibook (615).jpg,Formal,Short-sleeve-tee,Graphic,Jeans,None,NA,NA
codibook (618).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
codibook (621).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (619).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
codibook (620).jpg,Casual,Long-sleeve-tee,None,Cutoffs,Check,NA,NA
codibook (626).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (623).jpg,Formal,Short-sleeve-tee,None,Cutoffs,Leopard,NA,NA
codibook (622).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (624).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (625).jpg,Formal,Hoodie,None,H-line-skirt,None,NA,NA
codibook (629).jpg,Casual,Shirts,Graphic,Jeans,None,NA,NA
codibook (627).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (633).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
codibook (630).jpg,Feminine,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (628).jpg,Formal,Long-sleeve-tee,Dot,NA,NA,NA,NA
codibook (632).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (631).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
codibook (635).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (634).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (636).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (640).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (641).jpg,Formal,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
codibook (642).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (638).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
codibook (637).jpg,Feminine,Hoodie,Graphic,Cutoffs,None,NA,NA
codibook (639).jpg,Formal,Shirts,None,NA,NA,one-piece,Leopard
codibook (643).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
codibook (645).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
codibook (646).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (644).jpg,Formal,NA,NA,NA,NA,one-piece,None
codibook (649).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (648).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (650).jpg,Casual,Long-sleeve-tee,Graphic,NA,NA,NA,NA
codibook (647).jpg,Casual,Short-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
codibook (652).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (651).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
codibook (653).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
codibook (654).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,Check,NA,NA
codibook (656).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
codibook (655).jpg,Feminine,Short-sleeve-tee,Stripe,Chiffon-skirt,None,NA,NA
codibook (657).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (662).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (658).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,None,NA,NA
codibook (661).jpg,Feminine,Shirts,None,NA,NA,NA,NA
codibook (660).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (659).jpg,NA,NA,NA,NA,NA,NA,NA
codibook (664).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
codibook (663).jpg,Casual,Long-sleeve-tee,None,Jeans,Check,NA,NA
codibook (665).jpg,Casual,Shirts,Check,H-line-skirt,None,NA,NA
codibook (667).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (668).jpg,Formal,Short-sleeve-tee,Graphic,Jeans,None,NA,NA
codibook (666).jpg,Feminine,Hoodie,Check,Cutoffs,None,NA,NA
codibook (669).jpg,Casual,Shirts,Stripe,Cotten-long-pants,None,NA,NA
codibook (670).jpg,Feminine,Shirts,Check,H-line-skirt,Leopard,NA,NA
codibook (672).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (671).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Stripe,NA,NA
codibook (674).jpg,Feminine,NA,NA,Chiffon-skirt,Dot,NA,NA
codibook (676).jpg,Formal,Long-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
codibook (675).jpg,Casual,Short-sleeve-tee,Stripe,Cutoffs,None,NA,NA
codibook (673).jpg,Casual,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
codibook (680).jpg,Formal,Long-sleeve-tee,Dot,NA,NA,one-piece,Dot
codibook (681).jpg,Formal,NA,NA,Jeans,None,NA,NA
codibook (679).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (678).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,None,NA,NA
codibook (682).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
codibook (677).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
codibook (684).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (686).jpg,Feminine,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
codibook (683).jpg,Formal,Long-sleeve-tee,Check,Cotten-long-pants,None,NA,NA
codibook (685).jpg,Formal,NA,NA,NA,NA,one-piece,Check
codibook (688).jpg,Formal,Shirts,Stripe,Cotten-long-pants,None,NA,NA
codibook (687).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (690).jpg,Formal,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
codibook (689).jpg,Feminine,Shirts,None,Cutoffs,Floral,NA,NA
codibook (691).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (694).jpg,Casual,Short-sleeve-tee,Stripe,Cotten-long-pants,None,NA,NA
codibook (692).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (695).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (693).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (696).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (699).jpg,Formal,Long-sleeve-tee,None,Chiffon-skirt,Check,NA,NA
codibook (698).jpg,Casual,Shirts,None,Cutoffs,Floral,NA,NA
codibook (697).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (700).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,Dot,NA,NA
codibook (701).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (711).jpg,Feminine,NA,NA,Chiffon-skirt,Stripe,NA,NA
codibook (714).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (716).jpg,Formal,Shirts,Check,Cutoffs,Leopard,NA,NA
codibook (712).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
codibook (717).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (713).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (715).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (719).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
codibook (718).jpg,Casual,Shirts,Check,Cutoffs,None,NA,NA
codibook (721).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (723).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (720).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (724).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (722).jpg,Formal,NA,NA,NA,NA,NA,NA
codibook (726).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
codibook (727).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (725).jpg,Casual,Long-sleeve-tee,Stripe,Cutoffs,None,NA,NA
codibook (728).jpg,Formal,Short-sleeve-tee,Stripe,Chiffon-skirt,Stripe,NA,NA
codibook (731).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (729).jpg,Formal,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
codibook (730).jpg,Casual,Short-sleeve-tee,None,NA,NA,NA,NA
codibook (738).jpg,Casual,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
codibook (732).jpg,Formal,Short-sleeve-tee,Graphic,NA,NA,NA,NA
codibook (733).jpg,Casual,NA,NA,NA,NA,one-piece,Stripe
codibook (737).jpg,Formal,Long-sleeve-tee,None,Cutoffs,None,NA,NA
codibook (735).jpg,Casual,NA,NA,Cutoffs,Leopard,NA,NA
codibook (734).jpg,Formal,Short-sleeve-tee,Check,NA,NA,NA,NA
codibook (736).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
codibook (739).jpg,Formal,NA,NA,H-line-skirt,None,NA,NA
codibook (740).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
codibook (741).jpg,Feminine,Shirts,None,Cutoffs,None,NA,NA
codibook (742).jpg,Casual,NA,NA,NA,NA,one-piece,Stripe
codibook (744).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (743).jpg,Formal,Shirts,Stripe,Cutoffs,Dot,NA,NA
codibook (745).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
codibook (746).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (747).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (748).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (751).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (749).jpg,Formal,Long-sleeve-tee,Stripe,NA,NA,NA,NA
codibook (750).jpg,Casual,NA,NA,Jeans,None,NA,NA
codibook (754).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
codibook (752).jpg,Casual,NA,NA,Cotten-long-pants,Graphic,NA,NA
codibook (753).jpg,Formal,Long-sleeve-tee,None,NA,NA,NA,NA
codibook (755).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
codibook (756).jpg,Formal,NA,NA,NA,NA,one-piece,None
codibook (765).jpg,Feminine,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
codibook (760).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
codibook (763).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
codibook (759).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
codibook (764).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
codibook (761).jpg,Formal,Hoodie,Graphic,Cotten-long-pants,None,NA,NA
codibook (757).jpg,Feminine,Long-sleeve-tee,None,Cutoffs,Dot,NA,NA
codibook (766).jpg,Formal,Hoodie,None,Cotten-long-pants,None,NA,NA
codibook (762).jpg,Formal,Long-sleeve-tee,Graphic,Cutoffs,None,NA,NA
codibook (758).jpg,Casual,Short-sleeve-tee,Graphic,NA,NA,one-piece,Graphic
codibook (769).jpg,Casual,Hoodie,None,H-line-skirt,None,NA,NA
codibook (767).jpg,Formal,Shirts,None,Jeans,None,NA,NA
codibook (770).jpg,Formal,Shirts,None,Jeans,None,NA,NA
codibook (768).jpg,Formal,Short-sleeve-tee,Graphic,NA,NA,NA,NA
codibook (771).jpg,Formal,Shirts,Check,Cutoffs,Dot,NA,NA
