img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
hisfit (87).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (88).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
hisfit (89).jpg,Casual,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (90).jpg,Casual,Short-sleeve-tee,None,Jeans,None,NA,NA
hisfit (60).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (76).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (77).jpg,Casual,Long-sleeve-tee,Check,Cotten-long-pants,None,NA,NA
hisfit (78).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
hisfit (68).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (98).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
hisfit (97).jpg,Casual,NA,NA,Jeans,None,NA,NA
hisfit (96).jpg,Casual,NA,NA,Jeans,None,NA,NA
hisfit (85).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (54).jpg,Casual,Hoodie,None,Jeans,None,NA,NA
hisfit (69).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (70).jpg,Feminine,NA,NA,Jeans,None,NA,NA
hisfit (82).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
hisfit (95).jpg,Feminine,Short-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (51).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
hisfit (52).jpg,Formal,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (94).jpg,Casual,Long-sleeve-tee,None,Jeans,None,NA,NA
hisfit (71).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (83).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (84).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (86).jpg,Casual,NA,NA,Jeans,None,NA,NA
hisfit (55).jpg,Casual,Shirts,None,Jeans,None,NA,NA
hisfit (56).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (67).jpg,Casual,Long-sleeve-tee,Check,Cotten-long-pants,None,NA,NA
hisfit (91).jpg,Formal,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (81).jpg,Formal,NA,NA,Jeans,None,NA,NA
hisfit (79).jpg,Casual,Shirts,None,Cotten-long-pants,Leopard,NA,NA
hisfit (92).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (93).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (59).jpg,Casual,Shirts,Floral,Cotten-long-pants,None,NA,NA
hisfit (99).jpg,Formal,Long-sleeve-tee,None,Jeans,None,NA,NA
hisfit (72).jpg,Casual,Shirts,Check,Jeans,None,NA,NA
hisfit (61).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
hisfit (62).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (63).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
hisfit (75).jpg,Casual,Shirts,None,Cutoffs,None,NA,NA
hisfit (66).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (64).jpg,Casual,Shirts,Stripe,Jeans,None,NA,NA
hisfit (100).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (53).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
hisfit (65).jpg,Feminine,NA,NA,Cotten-long-pants,None,NA,NA
hisfit (73).jpg,Feminine,NA,NA,Cotten-long-pants,Check,NA,NA
hisfit (74).jpg,Casual,Long-sleeve-tee,None,Cutoffs,Check,NA,NA
hisfit (80).jpg,Casual,Shirts,None,Cutoffs,Dot,NA,NA
hisfit (57).jpg,Casual,Long-sleeve-tee,Graphic,Jeans,None,NA,NA
hisfit (58).jpg,Formal,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
