img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
musinsa (51).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (52).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
musinsa (53).jpg,Casual,Hoodie,Graphic,Cotten-long-pants,None,NA,NA
musinsa (54).jpg,Casual,Shirts,Check,Cotten-long-pants,None,NA,NA
musinsa (55).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
musinsa (56).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (57).jpg,Casual,Long-sleeve-tee,None,NA,NA,one-piece,None
musinsa (58).jpg,Formal,NA,NA,Jeans,None,NA,NA
musinsa (60).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (59).jpg,Casual,Shirts,Graphic,Cutoffs,None,NA,NA
musinsa (61).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
musinsa (62).jpg,Casual,Shirts,Stripe,Jeans,Leopard,NA,NA
musinsa (63).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
musinsa (64).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
musinsa (65).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (66).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (67).jpg,Casual,Shirts,Check,H-line-skirt,Stripe,NA,NA
musinsa (69).jpg,Casual,Hoodie,Check,Jeans,Leopard,NA,NA
musinsa (68).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (70).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
musinsa (71).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (72).jpg,Casual,Hoodie,Graphic,Cutoffs,None,NA,NA
musinsa (73).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (74).jpg,Casual,Short-sleeve-tee,None,Cutoffs,None,NA,NA
musinsa (76).jpg,Casual,Short-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
musinsa (75).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
musinsa (77).jpg,Casual,NA,NA,Jeans,None,NA,NA
musinsa (78).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (79).jpg,Casual,NA,NA,Cotten-long-pants,Leopard,NA,NA
musinsa (80).jpg,Casual,Shirts,Graphic,Cotten-long-pants,None,NA,NA
musinsa (81).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
musinsa (82).jpg,Casual,Short-sleeve-tee,Stripe,Jeans,Leopard,NA,NA
musinsa (83).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (84).jpg,Casual,NA,NA,Cotten-long-pants,Dot,NA,NA
musinsa (85).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (86).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (87).jpg,Formal,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (88).jpg,Casual,Long-sleeve-tee,None,Cutoffs,None,NA,NA
musinsa (89).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (90).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,Leopard,NA,NA
musinsa (91).jpg,Casual,NA,NA,Cotten-long-pants,Dot,NA,NA
musinsa (92).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (93).jpg,Casual,Shirts,None,Jeans,None,NA,NA
musinsa (94).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
musinsa (95).jpg,Casual,Long-sleeve-tee,None,Cotten-long-pants,None,NA,NA
musinsa (96).jpg,Casual,Hoodie,Graphic,Cotten-long-pants,None,NA,NA
musinsa (97).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
musinsa (98).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (100).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
musinsa (99).jpg,Feminine,NA,NA,H-line-skirt,Dot,NA,NA
