img_dir,style,top shape,top pattern,bottom shape,bottom pattern,one-piece,one-piece pattern
wusinsa (99).jpg,Formal,NA,NA,H-line-skirt,None,one-piece,None
wusinsa (98).jpg,Formal,Shirts,Dot,H-line-skirt,None,NA,NA
wusinsa (100).jpg,Feminine,Shirts,None,Cutoffs,Check,NA,NA
wusinsa (89).jpg,Casual,Shirts,Leopard,H-line-skirt,Dot,NA,NA
wusinsa (88).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
wusinsa (90).jpg,Casual,Shirts,Check,Cutoffs,Check,NA,NA
wusinsa (91).jpg,Casual,NA,NA,Chiffon-skirt,Dot,NA,NA
wusinsa (92).jpg,Casual,NA,NA,NA,NA,NA,NA
wusinsa (96).jpg,Casual,Short-sleeve-tee,Graphic,Cutoffs,Stripe,NA,NA
wusinsa (95).jpg,Casual,Shirts,Check,NA,NA,one-piece,Check
wusinsa (93).jpg,Casual,Shirts,None,Cotten-long-pants,None,NA,NA
wusinsa (94).jpg,Casual,NA,NA,NA,NA,one-piece,Dot
wusinsa (97).jpg,Formal,Long-sleeve-tee,None,H-line-skirt,None,NA,NA
wusinsa (87).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
wusinsa (83).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
wusinsa (86).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
wusinsa (84).jpg,Casual,Short-sleeve-tee,Stripe,H-line-skirt,Dot,NA,NA
wusinsa (78).jpg,Casual,Long-sleeve-tee,Graphic,Cotten-long-pants,Leopard,NA,NA
wusinsa (77).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
wusinsa (81).jpg,Casual,NA,NA,Cutoffs,None,one-piece,Stripe
wusinsa (80).jpg,Feminine,NA,NA,Jeans,None,NA,NA
wusinsa (79).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Check,NA,NA
wusinsa (85).jpg,Casual,NA,NA,Cutoffs,Check,NA,NA
wusinsa (82).jpg,Casual,Hoodie,None,H-line-skirt,Graphic,NA,NA
wusinsa (72).jpg,Feminine,Shirts,Stripe,H-line-skirt,Stripe,NA,NA
wusinsa (74).jpg,Casual,Long-sleeve-tee,Graphic,Cutoffs,Leopard,NA,NA
wusinsa (73).jpg,Casual,NA,NA,Cutoffs,Dot,NA,NA
wusinsa (75).jpg,Casual,Hoodie,None,Cutoffs,Check,NA,NA
wusinsa (76).jpg,Casual,NA,NA,Cutoffs,Stripe,NA,NA
wusinsa (68).jpg,Feminine,Long-sleeve-tee,Graphic,Cotten-long-pants,None,NA,NA
wusinsa (67).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
wusinsa (66).jpg,Casual,NA,NA,Chiffon-skirt,Stripe,NA,NA
wusinsa (70).jpg,Casual,NA,NA,Cotten-long-pants,None,NA,NA
wusinsa (69).jpg,Casual,NA,NA,H-line-skirt,Graphic,NA,NA
wusinsa (71).jpg,Casual,NA,NA,Cutoffs,None,NA,NA
wusinsa (65).jpg,Casual,NA,NA,Jeans,None,NA,NA
wusinsa (63).jpg,Casual,Short-sleeve-tee,Graphic,NA,NA,NA,NA
wusinsa (62).jpg,Casual,NA,NA,Jeans,None,NA,NA
wusinsa (64).jpg,Feminine,Shirts,None,Chiffon-skirt,None,NA,NA
wusinsa (61).jpg,Casual,Shirts,Dot,H-line-skirt,None,NA,NA
wusinsa (54).jpg,Casual,NA,NA,H-line-skirt,None,NA,NA
wusinsa (51).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,Dot,NA,NA
wusinsa (55).jpg,Casual,Shirts,Leopard,Chiffon-skirt,Leopard,NA,NA
wusinsa (52).jpg,Casual,NA,NA,H-line-skirt,Dot,NA,NA
wusinsa (53).jpg,Feminine,Short-sleeve-tee,None,H-line-skirt,None,NA,NA
wusinsa (56).jpg,Casual,Long-sleeve-tee,Graphic,H-line-skirt,None,NA,NA
wusinsa (57).jpg,Casual,NA,NA,Cutoffs,Check,NA,NA
wusinsa (58).jpg,Casual,NA,NA,Jeans,None,NA,NA
wusinsa (59).jpg,Feminine,NA,NA,NA,NA,NA,NA
wusinsa (60).jpg,Feminine,Short-sleeve-tee,Graphic,Chiffon-skirt,Dot,NA,NA
